Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","3’601’816.48","0.59","3’601’816.48","32’301.00","111.51","Switzerland","SIX Swiss Exchange","CHF"
"ENX","EURONEXT NV","Financials","Equity","3’593’432.60","0.59","3’593’432.60","22’586.00","159.10","France","Nyse Euronext - Euronext Paris","EUR"
"UPM","UPM-KYMMENE","Materials","Equity","3’555’563.11","0.58","3’555’563.11","153’191.00","23.21","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","3’546’319.65","0.58","3’546’319.65","215’060.00","16.49","United Kingdom","London Stock Exchange","GBP"
"PST","POSTE ITALIANE","Financials","Equity","3’539’663.25","0.58","3’539’663.25","132’225.00","26.77","Italy","Borsa Italiana","EUR"
"KOG","KONGSBERG GRUPPEN","Industrials","Equity","3’520’591.93","0.58","3’520’591.93","120’416.00","29.24","Norway","Oslo Bors Asa","NOK"
"SY1","SYMRISE AG","Materials","Equity","3’506’467.50","0.57","3’506’467.50","38’575.00","90.90","Germany","Xetra","EUR"
"SRG","SNAM","Utilities","Equity","3’375’767.30","0.55","3’375’767.30","585’664.00","5.76","Italy","Borsa Italiana","EUR"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","3’375’204.23","0.55","3’375’204.23","27’302.00","123.62","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"MONC","MONCLER","Consumer Discretionary","Equity","3’254’248.00","0.53","3’254’248.00","64’060.00","50.80","Italy","Borsa Italiana","EUR"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","3’250’192.10","0.53","3’250’192.10","31’418.00","103.45","France","Nyse Euronext - Euronext Paris","EUR"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","3’247’232.04","0.53","3’247’232.04","74’587.00","43.54","United Kingdom","London Stock Exchange","GBP"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","3’236’352.53","0.53","3’236’352.53","266’026.00","12.17","United Kingdom","London Stock Exchange","GBP"
"ASRNL","ASR NEDERLAND","Financials","Equity","3’205’917.00","0.53","3’205’917.00","45’474.00","70.50","Netherlands","Euronext Amsterdam","EUR"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","3’201’684.11","0.52","3’201’684.11","23’371.00","136.99","Switzerland","SIX Swiss Exchange","CHF"
"AGS","AGEAS","Financials","Equity","3’146’601.40","0.52","3’146’601.40","43’282.00","72.70","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","3’139’009.49","0.51","3’139’009.49","58’131.00","54.00","United Kingdom","London Stock Exchange","GBP"
"NHY","NORSK HYDRO","Materials","Equity","3’132’899.24","0.51","3’132’899.24","371’833.00","8.43","Norway","Oslo Bors Asa","NOK"
"BNZL","BUNZL","Industrials","Equity","3’092’516.98","0.51","3’092’516.98","94’171.00","32.84","United Kingdom","London Stock Exchange","GBP"
"METSO","METSO CORPORATION","Industrials","Equity","3’087’170.17","0.51","3’087’170.17","184’529.00","16.73","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","3’053’062.38","0.50","3’053’062.38","723’641.00","4.22","United Kingdom","London Stock Exchange","GBP"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","3’050’877.84","0.50","3’050’877.84","44’638.00","68.35","United Kingdom","London Stock Exchange","GBP"
"EN","BOUYGUES SA","Industrials","Equity","3’042’416.40","0.50","3’042’416.40","64’186.00","47.40","France","Nyse Euronext - Euronext Paris","EUR"
"EDV","ENDEAVOUR MINING","Materials","Equity","3’023’936.80","0.50","3’023’936.80","61’770.00","48.95","United Kingdom","London Stock Exchange","GBP"
"BKT","BANKINTER SA","Financials","Equity","3’020’795.69","0.50","3’020’795.69","182’691.00","16.54","Spain","Bolsa De Madrid","EUR"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","2’976’387.84","0.49","2’976’387.84","104’508.00","28.48","Italy","Borsa Italiana","EUR"
"AGN","AEGON","Financials","Equity","2’882’275.44","0.47","2’882’275.44","351’240.00","8.21","Netherlands","Euronext Amsterdam","EUR"
"AKRBP","AKER BP","Energy","Equity","2’880’156.65","0.47","2’880’156.65","91’892.00","31.34","Norway","Oslo Bors Asa","NOK"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","2’871’604.66","0.47","2’871’604.66","221’451.00","12.97","United Kingdom","London Stock Exchange","GBP"
