Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"EXO","EXOR NV","Financials","Equity","2’893’956","0.54","2’893’956.00","42’810","67.60","Netherlands","Euronext Amsterdam","EUR"
"ELI","ELIA GROUP SA","Utilities","Equity","2’864’252","0.53","2’864’251.60","21’154","135.40","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","2’861’658","0.53","2’861’657.80","12’266","233.30","Germany","Xetra","EUR"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","2’775’830","0.51","2’775’830.20","35’542","78.10","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ZAL","ZALANDO","Consumer Discretionary","Equity","2’774’356","0.51","2’774’356.20","102’564","27.05","Germany","Xetra","EUR"
"IPN","IPSEN SA","Health Care","Equity","2’747’220","0.51","2’747’220.00","16’275","168.80","France","Nyse Euronext - Euronext Paris","EUR"
"LHA","DEUTSCHE LUFTHANSA AG","Industrials","Equity","2’730’040","0.51","2’730’039.62","291’049","9.38","Germany","Xetra","EUR"
"AMUN","AMUNDI SA","Financials","Equity","2’625’789","0.49","2’625’788.75","30’095","87.25","France","Nyse Euronext - Euronext Paris","EUR"
"REC","RECORDATI INDUSTRIA CHIMICA E FARM","Health Care","Equity","2’604’552","0.48","2’604’552.30","50’771","51.30","Italy","Borsa Italiana","EUR"
"ALO","ALSTOM SA","Industrials","Equity","2’600’863","0.48","2’600’863.26","166’402","15.63","France","Nyse Euronext - Euronext Paris","EUR"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","2’552’705","0.47","2’552’705.48","132’677","19.24","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"ELISA","ELISA","Communication","Equity","2’463’037","0.46","2’463’036.88","68’954","35.72","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"STERV","STORA ENSO CLASS R","Materials","Equity","2’440’279","0.45","2’440’278.54","263’529","9.26","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"G24","SCOUT24 N","Communication","Equity","2’432’810","0.45","2’432’809.55","33’349","72.95","Germany","Xetra","EUR"
"AM","DASSAULT AVIATION SA","Industrials","Equity","2’406’576","0.45","2’406’576.00","8’310","289.60","France","Nyse Euronext - Euronext Paris","EUR"
"RNO","RENAULT SA","Consumer Discretionary","Equity","2’271’042","0.42","2’271’042.00","89’800","25.29","France","Nyse Euronext - Euronext Paris","EUR"
"JMT","JERONIMO MARTINS SA","Consumer Staples","Equity","2’267’820","0.42","2’267’820.18","137’694","16.47","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"LOTB","LOTUS BAKERIES NV","Consumer Staples","Equity","2’241’360","0.42","2’241’360.00","198","11’320.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"GET","GETLINK","Industrials","Equity","2’240’928","0.41","2’240’928.00","120’480","18.60","France","Nyse Euronext - Euronext Paris","EUR"
"SYENS","SYENSQO NV","Materials","Equity","2’240’896","0.41","2’240’896.00","34’160","65.60","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"BMED","BANCA MEDIOLANUM","Financials","Equity","2’213’675","0.41","2’213’674.50","99’850","22.17","Italy","Borsa Italiana","EUR"
"HAG","HENSOLDT AG","Industrials","Equity","2’184’666","0.40","2’184’665.70","29’435","74.22","Germany","Xetra","EUR"
"TUB","FINANCIERE DE TUBIZE SA","Health Care","Equity","2’107’608","0.39","2’107’608.00","9’615","219.20","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"EDPR","EDP RENEWABLES SA","Utilities","Equity","2’097’686","0.39","2’097’686.25","152’559","13.75","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","2’033’648","0.38","2’033’648.19","74’739","27.21","Germany","Xetra","EUR"
"SW","SODEXO SA","Consumer Discretionary","Equity","2’031’649","0.38","2’031’649.40","37’763","53.80","France","Nyse Euronext - Euronext Paris","EUR"
"EVK","EVONIK INDUSTRIES AG","Materials","Equity","2’016’708","0.37","2’016’707.55","123’045","16.39","Germany","Xetra","EUR"
"MAP","MAPFRE SA","Financials","Equity","1’967’654","0.36","1’967’654.35","446’788","4.40","Spain","Bolsa De Madrid","EUR"
"AYV","AYVENS SA","Industrials","Equity","1’919’707","0.36","1’919’706.75","162’825","11.79","France","Nyse Euronext - Euronext Paris","EUR"
