Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CHAM","CHAM SWISS PROPERTIES AG","Real Estate","Equity","1’617’365","0.03","1’617’364.80","69’714","23.20","Switzerland","SIX Swiss Exchange","CHF"
"MED","MEDARTIS HOLDING AG","Health Care","Equity","1’608’785","0.03","1’608’784.80","17’544","91.70","Switzerland","SIX Swiss Exchange","CHF"
"TXGN","TX GROUP AG LTD","Communication","Equity","1’564’703","0.03","1’564’703.20","11’818","132.40","Switzerland","SIX Swiss Exchange","CHF"
"REHN","ROMANDE ENERGIE SA","Utilities","Equity","1’413’632","0.02","1’413’632.00","28’160","50.20","Switzerland","SIX Swiss Exchange","CHF"
"IREN","INVESTIS HOLDING SA","Real Estate","Equity","1’234’110","0.02","1’234’110.00","7’962","155.00","Switzerland","SIX Swiss Exchange","CHF"
"WARN","WARTECK INVEST AG","Real Estate","Equity","1’153’450","0.02","1’153’450.00","590","1’955.00","Switzerland","SIX Swiss Exchange","CHF"
"NREN","NOVAVEST REAL ESTATE AG","Real Estate","Equity","1’140’599","0.02","1’140’598.80","28’803","39.60","Switzerland","SIX Swiss Exchange","CHF"
"BELL","BELL FOOD GROUP AG","Consumer Staples","Equity","1’024’166","0.02","1’024’166.40","5’728","178.80","Switzerland","SIX Swiss Exchange","CHF"
"EPIC","EPIC N AG","Real Estate","Equity","963’277","0.02","963’276.60","11’227","85.80","Switzerland","SIX Swiss Exchange","CHF"
"AUTN","AUTONEUM HOLDING AG","Consumer Discretionary","Equity","946’407","0.02","946’407.00","8’435","112.20","Switzerland","SIX Swiss Exchange","CHF"
"VPBN","VP BANK AG","Financials","Equity","908’626","0.02","908’625.60","9’963","91.20","Switzerland","SIX Swiss Exchange","CHF"
"HBLN","HYPOTHEKARBANK LENZBURG AG","Financials","Equity","894’520","0.02","894’520.00","214","4’180.00","Switzerland","SIX Swiss Exchange","CHF"
"SFPN","SF URBAN PROPERTIES N AG","Real Estate","Equity","892’739","0.02","892’739.00","8’839","101.00","Switzerland","SIX Swiss Exchange","CHF"
"CICN","CICOR TECHNOLOGIES B LTD","Information Technology","Equity","890’485","0.02","890’485.00","7’825","113.80","Switzerland","SIX Swiss Exchange","CHF"
"DOCM","DOCMORRIS AG","Consumer Staples","Equity","882’422","0.02","882’422.06","101’603","8.69","Switzerland","SIX Swiss Exchange","CHF"
"SWTQ","SCHWEITER N AG","Industrials","Equity","875’255","0.02","875’254.50","2’903","301.50","Switzerland","SIX Swiss Exchange","CHF"
"AEVS","AEVIS VICTORIA SA","Health Care","Equity","872’041","0.02","872’040.75","71’187","12.25","Switzerland","SIX Swiss Exchange","CHF"
"APGN","APG SGA SA","Communication","Equity","818’262","0.01","818’261.50","4’207","194.50","Switzerland","SIX Swiss Exchange","CHF"
